Android多国语言文件夹文件汇总如下：
-res/values-zh-rCN	中文（中国）
-res/values-zh-rTW	中文（台湾）
-res/values-zh-rHK	中文（香港）
-res/values-en-rUS	英语（美国）
-res/values-en-rGB	英语（英国）
-res/values-en-rAU	英文（澳大利亚）
-res/values-en-rCA	英文（加拿大）
-res/values-en-rIE	英文（爱尔兰）
-res/values-en-rIN	英文（印度）
-res/values-en-rNZ	英文（新西兰）
-res/values-en-rSG	英文（新加坡）
-res/values-en-rZA	英文（南非）
-res/values-ar-rEG	阿拉伯文（埃及）
-res/values-ar-rIL	阿拉伯文（以色列）
-res/values-bg-rBG	保加利亚文
-res/values-ca-rES	加泰罗尼亚文
-res/values-cs-rCZ	捷克文
-res/values-da-rDK	丹麦文
-res/values-de-rAT	德文（奥地利）
-res/values-de-rCH	德文（瑞士）
-res/values-de-rDE	德文（德国）
-res/values-de-rLI	德文（列支敦士登）
-res/values-el-rGR	希腊文
-res/values-es-rES	西班牙文（西班牙）
-res/values-es-rUS	西班牙文（美国）
-res/values-fi-rFI	芬兰文（芬兰）
-res/values-fr-rBE	法文（比利时）
-res/values-fr-rCA	法文（加拿大）
-res/values-fr-rCH	法文（瑞士）
-res/values-fr-rFR	法文（法国）
-res/values-iw-rIL	希伯来文
-res/values-hi-rIN	印地文
-res/values-hr-rHR	克罗里亚文
-res/values-hu-rHU	匈牙利文
-res/values-in-rID	印度尼西亚文
-res/values-it-rCH	意大利文（瑞士）
-res/values-it-rIT	意大利文（意大利）
-res/values-ja-rJP	日文
-res/values-ko-rKR	韩文
-res/valueslt-rLT	立陶宛文
-res/values-lv-rLV	拉脱维亚文
-res/values-nb-rNO	挪威博克马尔文
-res/values-nl-BE	荷兰文(比利时)
-res/values-nl-rNL	荷兰文（荷兰）
-res/values-pl-rPL	波兰文
-res/values-pt-rBR	葡萄牙文（巴西）
-res/values-pt-rPT	葡萄牙文（葡萄牙）
-res/values-ro-rRO	罗马尼亚文
-res/values-ru-rRU	俄文
-res/values-sk-rSK	斯洛伐克文
-res/values-sl-rSI	斯洛文尼亚文
-res/values-sr-rRS	塞尔维亚文
-res/values-sv-rSE	瑞典文
-res/values-th-rTH	泰文
-res/values-tl-rPH	塔加洛语
-res/values--r-rTR	土耳其文
-res/values-uk-rUA	乌克兰文
-res/values-vi-rVN	越南文
